"Kode Barang","Nama Barang","Harga","Stok","Jenis","Expired"
"BD-0011","Krim wajah","22500","43","Padat","2024-05-31"
"BD-0012","bedak salju gede","123","123","Padat","2024-05-23"
"BD-002","Bedak Pond's BB","100000","100","Padat","2024-12-17"
"BD-003","Bedak Maybelline Fit Me","160000","88","Padat","2024-12-17"
"BD-004","Bedak Revlon Touch & Glow","75000","138","Padat","2024-12-17"
"BD-005","Bedak Make Over Perfect Cover Two Way Cake","155000","138","Padat","2024-12-17"
"BD-006","Bedak PIXY UVW TWC Perfect Last","120000","138","Padat","2024-12-17"
"BD-007","Bedak Make Over Powerstay Matte Powder Foundation","188000","140","Padat","2024-12-17"
"BD-008","Bedak Emina Bright Stuff Loose Powder","180000","140","Padat","2024-12-17"
"BD-009","Bedak Oriflame  Colorboux Face Powder","140000","142","Padat","2024-12-17"
"BD-010","Bedak MS Glow Loose Powder","98000","137","Padat","2024-12-17"
